সেগমেন্ট_নাম,বয়স,লোকেশন,ফেসবুক_ফরম্যাট,গেমিং_অভিজ্ঞতা,মোটিভেশন,পেইন_পয়েন্ট,অন胩口_স্ট্র্যাটেজি,প্রথম_CTA
ছাত্র যুবক,১৮-২৫,ঢাকা চট্টগ্রাম রাজশাহী,রীল_ফিড,নতুন,মেধা দেখানো বন্ধুদের সাথে যোগ,শর্ট গেম লো বdisturbs,ফ্রি ট্রিক শেয়ার চ্যালেঞ্জ,দেখো কেমন হয়
চাকরি পরিদর্শক,২৫-৩৫,ঢাকা ও বিভাগীয় শহর,ফিড_ক্যারোসেল,মধ্যম,অতিরিক্ত আয় সময় কাটানো,গেম নিয়ন্ত্রণ ব্যালেন্স লো,নিয়মিত লাইভ গাইড,আজই যোগ দাও
গ্রামের তরুণ,১৮-২৯,গ্রামে ও উপজেলা,রীল,নতুন,ছোট টাকা সম্প্রদায়ের সাথে,ইন্টারনেট স্পিড ডিভাইস,ফ্রি ট্রিক স্পিড টিপস,স্ক্রিন রেকর্ড শেয়ার
প্রফেশনাল গেমার,১৮-৩৫,ঢাকা সিলেট,ফিড_রcarousel,উন্নত,কম্পিটিটিভ টার্নামেন্ট,টাইম ম্যানেজমেন্ট,টার্নামেন্ট লিডারবোর্ড,রেজিস্ট্রেশন চেক
মা-বাবা ও প্লেয়ার,২৫-৪৫,সুবিভাগ উপজেলা,ফিড_রcarousel,নতুন/মধ্যম,নিয়মিত ইনকাম পরিবার,Paying trust,পারফরম্যান্স রিপোর্ট,সosial প্রুফ দেখো
ফুড ডেলিভারি ও রিকশা,১৮-৩০,ঢাকা চট্টগ্রাম,রcarousel_রীল,নতুন,দ্রুত টাকা ছোট আয়,সার্ভিস ফি বোঝা,ফেস্টিভল অফার,বোনাস ক্লেইম
মেডিকেল ইঞ্জিনিয়ারিং,১৮-২৫,ঢাকার বড় কলেজ,ফিড_রcarousel,মধ্যম,টার্গেট শ্রেণী বোঝা,টার্ম ক Sheikh,ভাইরাল কপি শেয়ার,টিউটোরিয়াল দেখো
ব্যবসায়ী ও ব্যবসায়ী,২৮-৪৫,বাজার ও শহরের ćarসং,ফিড_রcarousel,মধ্যম/উন্নত,দ্রুত টাকা,গেম সময় নষ্ট,ব্যবসায়িক অফার,ব্যবসায়িক অ্যাকাউন্ট
অফিস স্টাফ ও কোয়েরি,২২-৩০,ঢাকা ও ইউরোপীয় শহর,রcarousel,নতুন,দিনশেষের আয় বন্ধুদের সাথে,ডিভাইস সীমা,শেয়ার চ্যালেঞ্জ,ফ্রি অফার চেক
শিক্ষক ও ছাত্র,১৬-২২,সকল জেলা,রcarousel,নতুন,স্কুলের বন্ধুদের সাথে,অ্যাপ শিখার ভয়,শিক্ষামূলক ভিডিও,টিউটোরিয়াল দেখো
